"Plant.Code","Plant.Name","State","Latitude","Longitude","DC","HB","ON","PN","RC","RT","NA"
409,"Exchequer","CA","37.584344999999999","-120.26859",0,0,0,0,0,0,77225
410,"McSwain","CA","37.522064999999998","-120.31009",0,0,0,0,0,0,11144
412,"Chicago Park","CA","39.177903000000001","-120.890856",0,0,0,0,0,0,59831
413,"Dutch Flat 2","CA","39.218400000000003","-120.8352",0,0,0,0,0,0,19912
414,"Beardsley","CA","38.202568999999997","-120.076983",0,0,0,0,0,0,15182
415,"Donnells","CA","38.246656000000002","-120.03407199999999",0,0,0,0,0,0,134635
416,"Tulloch","CA","37.876111000000002","-120.605",0,0,0,0,0,0,91491
417,"Forbestown","CA","39.551012","-121.278784",0,0,0,0,0,0,58149
418,"Kelly Ridge","CA","39.531784000000002","-121.491247",0,0,0,0,0,0,33070
419,"Woodleaf","CA","39.553811000000003","-121.204077",0,0,0,0,0,0,89001
420,"Broadway (CA)","CA","34.125399999999999","-118.148",0,0,0,0,0,0,64791
421,"Craig (AK)","AK","55.476399999999998","-133.14830000000001",0,0,0,0,0,0,306
422,"Glenarm","CA","34.125999999999998","-118.1494",0,0,0,0,0,0,33607
423,"Hydaburg","AK","55.208100000000002","-132.82669999999999",0,0,0,0,0,0,13
424,"French Meadows","CA","39.077970999999998","-120.406069",0,0,0,0,0,0,21280
425,"Middle Fork","CA","39.024800999999997","-120.596383",0,0,0,0,0,0,270448
426,"Oxbow (CA)","CA","39.003371999999999","-120.746651",0,0,0,0,0,0,14509
427,"Ralston","CA","39.000999","-120.725053",0,0,0,0,0,0,200529
428,"Parker","CA","37.477837999999998","-120.444492",0,0,0,0,0,0,3047
430,"Camino","CA","38.828809999999997","-120.53708899999999",0,0,0,0,0,0,153928
431,"Jaybird","CA","38.834049999999998","-120.53176000000001",0,0,0,0,0,0,242172
432,"Loon Lake","CA","38.982697000000002","-120.32450300000001",0,0,0,0,0,0,55822
433,"Robbs Peak","CA","38.896510999999997","-120.378292",0,0,0,0,0,0,24230
435,"White Rock/Slab Creek","CA","38.765335999999998","-120.78736600000001",0,0,0,0,0,0,216343
